"Order","Description","Deadline","Status","Amount"
"1","Alphabet puzzle","2016/01/15","Done","€1.000,00"
"2","Layout for poster","2016/01/31","Planned","€1.834,00"
"3","Image creation","2016/01/23","To Do","€1.500,00"
"4","Create font","2016/02/26","Done","€1.200,00"
"5","Sticker production","2016/02/18","Planned","€2.100,00"
"6","Glossy poster","2016/03/17","To Do","€899,00"
"7","Beer label","2016/05/28","Confirmed","€2.499,00"
"8","Shop sign","2016/04/19","Offer","€1.099,00"
"9","X-Mas decoration","2016/10/31","Confirmed","€1.750,00"
"10","Halloween invite","2016/09/12","Planned","€400,00"
"11","Wedding announcement","2016/07/09","To Do","€299,00"
"12","Member pasport","2016/06/22","Offer","€149,00"
"13","Drink tickets","2016/11/01","Confirmed","€199,00"
"14","Album cover","2017/03/15","To Do","€4.999,00"
"15","Shipment box","2017/02/08","Offer","€1.399,00"
"16","Wooden puzzle","2017/01/11","Done","€1.000,00"
"17","Fashion Layout","2016/01/30","Planned","€1.834,00"
"18","Toy creation","2016/01/10","To Do","€1.550,00"
"19","Create stamps","2016/02/26","Done","€1.220,00"
"20","Sticker design","2017/02/18","Planned","€2.100,00"
"21","Poster rock concert","2017/04/17","To Do","€899,00"
"22","Wine label","2017/05/28","Confirmed","€2.799,00"
"23","Shopping bag","2017/04/19","Offer","€1.299,00"
"24","Decoration for Easter","2017/10/31","Confirmed","€1.650,00"
"25","Saint Nicolas colorbook","2017/09/12","Planned","€510,00"
"26","Wedding invites","2017/07/09","To Do","€399,00"
"27","Member pasport","2017/06/22","Offer","€249,00"
"28","Drink tickets","2017/11/01","Confirmed","€199,00"
"29","Blue-Ray cover","2018/03/15","To Do","€1.999,00"
"30","TV carton","2019/02/08","Offer","€1.369,00"